line_number,committee_name,file_number,related_line_number,committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,recipient_prefix,recipient_suffix,beneficiary_committee_name,disbursement_type,disbursement_description,disbursement_date,disbursement_amount,semi_annual_bundled_refund,candidate_office,candidate_office_district,transaction_id,image_number,entity_type,amendment_indicator,memo_code,memo_text,back_reference_transaction_id,back_reference_schedule_name,load_timestamp
18,CASAR VICTORY FUND,1963223,11,C00918219,OUR FIGHT OUR FUTURE,AUSTIN,TX,78731,,,,,Transfer to affiliate,2026-03-31,4500.00,,,,SB18.4134,202604159857268784,PAC,A,,,,,2026-04-15 10:09:26
18,CASAR VICTORY FUND,1963223,10,C00918219,GREG CASAR FOR CONGRESS,AUSTIN,TX,78703,,,,,Transfer to affliliate,2026-03-31,3200.00,,H,37,SB18.4133,202604159857268783,CCM,A,,,,,2026-04-15 10:09:26
18,CASAR VICTORY FUND,1963223,9,C00918219,GREG CASAR FOR CONGRESS,AUSTIN,TX,78703,,,GREG CASAR FOR CONGRESS,,Transfer of joint fundraising proceeds,2026-03-03,3025.00,,H,37,SB18.4128,202604159857268783,CCM,A,,,,,2026-04-15 10:09:26
18,CASAR VICTORY FUND,1963223,8,C00918219,GREG CASAR FOR CONGRESS,AUSTIN,TX,78703,,,GREG CASAR FOR CONGRESS,,Transfer of joint fundraising proceeds,2026-03-03,3025.00,,H,37,SB18.4127,202604159857268783,CCM,A,,,,,2026-04-15 10:09:26
17,CASAR VICTORY FUND,1963223,7,C00918219,ActBlue Technical Services,Somerville,MA,02144,,,,,Merchant fees,2026-03-30,335.75,,,,SB17.4132,202604159857268782,ORG,A,,,,,2026-04-15 10:09:26
17,CASAR VICTORY FUND,1963223,6,C00918219,ActBlue Technical Services,Somerville,MA,02144,,,,,Merchant fees,2026-03-03,276.50,,,,SB17.4126,202604159857268782,ORG,A,,,,,2026-04-15 10:09:26
