amendment_indicator,amendment_indicator_desc,back_reference_schedule_id,back_reference_transaction_id,beneficiary_committee_name,candidate_first_name,candidate_id,candidate_last_name,candidate_middle_name,candidate_name,candidate_office,candidate_office_description,candidate_office_district,candidate_office_state,candidate_office_state_full,candidate_prefix,candidate_suffix,category_code,category_code_full,comm_dt,committee_id,conduit_committee_city,conduit_committee_name,conduit_committee_state,conduit_committee_street1,conduit_committee_street2,conduit_committee_zip,disbursement_amount,disbursement_date,disbursement_description,disbursement_purpose_category,disbursement_type,disbursement_type_description,election_type,election_type_full,entity_type,entity_type_desc,fec_election_type_desc,fec_election_year,file_number,filing_form,image_number,line_number,line_number_label,link_id,load_date,memo_code,memo_code_full,memo_text,memoed_subtotal,national_committee_nonfederal_account,original_sub_id,payee_employer,payee_first_name,payee_last_name,payee_middle_name,payee_occupation,payee_prefix,payee_suffix,pdf_url,recipient_city,recipient_committee_id,recipient_name,recipient_state,recipient_zip,ref_disp_excess_flg,report_type,report_year,schedule_type,schedule_type_full,semi_annual_bundled_refund,spender_committee_designation,spender_committee_org_type,spender_committee_type,sub_id,transaction_id,two_year_transaction_period,unused_recipient_committee_id
A,ADD,,,CASEY SHEPARD FOR CONGRESS,,,,,,H,HOUSE,17,TX,TEXAS,,,004,Advertising Expenses ,,C00934547,,,,,,,387.88,2026-02-20,PRINT MEDIA ADVERTISING,ADVERTISING,,,R2026,RUNOFF,ORG,ORGANIZATION,RUNOFF,2026,1967487,F3,202604159863085424,17,Operating Expenditures,4041620261435907321,2026-04-17T02:51:45,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202604159863085424,AUSTIN,,AMERICAN PRINTING AND MAILING,TX,78754,,Q1,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4041620261435981107,SB17.4253,2026,C00934547
A,ADD,,,CASEY SHEPARD FOR CONGRESS,,,,,,H,HOUSE,17,TX,TEXAS,,,004,Advertising Expenses ,,C00934547,,,,,,,31.99,2026-02-18,FACEBOOK ADVRTISING,OTHER,,,R2026,RUNOFF,ORG,ORGANIZATION,RUNOFF,2026,1967487,F3,202604159863085426,17,Operating Expenditures,4041620261435907321,2026-04-17T02:51:45,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202604159863085426,MENLO PARK,,META PLATFORMS,CA,94025,,Q1,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4041620261435981114,SB17.4241,2026,C00934547
A,ADD,,,CASEY SHEPARD FOR CONGRESS,,,,,,H,HOUSE,17,TX,TEXAS,,,004,Advertising Expenses ,,C00934547,,,,,,,75.0,2026-02-17,FACEBOOK ADVRTISING,OTHER,,,R2026,RUNOFF,ORG,ORGANIZATION,RUNOFF,2026,1967487,F3,202604159863085426,17,Operating Expenditures,4041620261435907321,2026-04-17T02:51:45,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202604159863085426,MENLO PARK,,META PLATFORMS,CA,94025,,Q1,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4041620261435981113,SB17.4240,2026,C00934547
A,ADD,,,CASEY SHEPARD FOR CONGRESS,,,,,,H,HOUSE,17,TX,TEXAS,,,004,Advertising Expenses ,,C00934547,,,,,,,70.0,2026-02-17,FACEBOOK ADVRTISING,OTHER,,,R2026,RUNOFF,ORG,ORGANIZATION,RUNOFF,2026,1967487,F3,202604159863085425,17,Operating Expenditures,4041620261435907321,2026-04-17T02:51:45,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202604159863085425,MENLO PARK,,META PLATFORMS,CA,94025,,Q1,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4041620261435981112,SB17.4239,2026,C00934547
A,ADD,,,CASEY SHEPARD FOR CONGRESS,,,,,,H,HOUSE,17,TX,TEXAS,,,004,Advertising Expenses ,,C00934547,,,,,,,65.0,2026-02-17,FACEBOOK ADVRTISING,OTHER,,,R2026,RUNOFF,ORG,ORGANIZATION,RUNOFF,2026,1967487,F3,202604159863085425,17,Operating Expenditures,4041620261435907321,2026-04-17T02:51:45,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202604159863085425,MENLO PARK,,META PLATFORMS,CA,94025,,Q1,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4041620261435981111,SB17.4238,2026,C00934547
A,ADD,,,CASEY SHEPARD FOR CONGRESS,,,,,,H,HOUSE,17,TX,TEXAS,,,004,Advertising Expenses ,,C00934547,,,,,,,60.0,2026-02-12,FACEBOOK ADVERTISING,OTHER,,,R2026,RUNOFF,ORG,ORGANIZATION,RUNOFF,2026,1967487,F3,202604159863085425,17,Operating Expenditures,4041620261435907321,2026-04-17T02:51:45,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202604159863085425,MENLO PARK,,META PLATFORMS,CA,94025,,Q1,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4041620261435981110,SB17.4237,2026,C00934547
A,ADD,,,CASEY SHEPARD FOR CONGRESS,,,,,,H,HOUSE,17,TX,TEXAS,,,004,Advertising Expenses ,,C00934547,,,,,,,60.0,2026-02-11,FACEBOOK ADVERTISING,OTHER,,,P2026,,ORG,ORGANIZATION,PRIMARY,2026,1947627,F3,202602189834757137,17,Operating Expenditures,4021920261309029001,2026-03-14T02:52:00,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202602189834757137,MENLO PARK,,META PLATFORMS,CA,94025,,12P,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4031320261423377751,SB17.4205,2026,C00934547
A,ADD,,,CASEY SHEPARD FOR CONGRESS,,,,,,H,HOUSE,17,TX,TEXAS,,,004,Advertising Expenses ,,C00934547,,,,,,,56.0,2026-02-09,FACEBOOK ADVERTISING,OTHER,,,P2026,,ORG,ORGANIZATION,PRIMARY,2026,1947627,F3,202602189834757137,17,Operating Expenditures,4021920261309029001,2026-03-14T02:52:00,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202602189834757137,MENLO PARK,,META PLATFORMS,CA,94025,,12P,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4031320261423377750,SB17.4204,2026,C00934547
A,ADD,,,CASEY SHEPARD FOR CONGRESS,,,,,,H,HOUSE,17,TX,TEXAS,,,004,Advertising Expenses ,,C00934547,,,,,,,52.0,2026-02-07,FACEBOOK ADVERTISING,OTHER,,,P2026,,ORG,ORGANIZATION,PRIMARY,2026,1947627,F3,202602189834757137,17,Operating Expenditures,4021920261309029001,2026-03-14T02:52:00,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202602189834757137,MENLO PARK,,META PLATFORMS,CA,94025,,12P,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4031320261423377749,SB17.4203,2026,C00934547
A,ADD,,,CASEY SHEPARD FOR CONGRESS,,,,,,H,HOUSE,17,TX,TEXAS,,,004,Advertising Expenses ,,C00934547,,,,,,,48.0,2026-02-06,FACEBOOK ADVERTISING,OTHER,,,P2026,,ORG,ORGANIZATION,PRIMARY,2026,1947627,F3,202602189834757136,17,Operating Expenditures,4021920261309029001,2026-03-14T02:52:00,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202602189834757136,MENLO PARK,,META PLATFORMS,CA,94025,,12P,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4031320261423377748,SB17.4202,2026,C00934547
