line_number,committee_name,file_number,related_line_number,committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,recipient_prefix,recipient_suffix,beneficiary_committee_name,disbursement_type,disbursement_description,disbursement_date,disbursement_amount,semi_annual_bundled_refund,candidate_office,candidate_office_district,transaction_id,image_number,entity_type,amendment_indicator,memo_code,memo_text,back_reference_transaction_id,back_reference_schedule_name,load_timestamp
23,CONSERVATIVE & REPUBLICAN TOGETHER EQUALS RESULTS PAC,1965468,58,C00427401,MONICA FOR CONGRESS,McAllen,TX,78502,,,MONICA FOR CONGRESS,,political contribution,2026-03-04,5000.00,,H,15,SB23.5730,202604159862297551,CCM,A,,,,,2026-04-15 16:19:34
21B,CONSERVATIVE & REPUBLICAN TOGETHER EQUALS RESULTS PAC,1965468,57,C00427401,Prevail Strategies,Leawood,KS,66224,,,,,Political Strategy Consulting,2026-03-04,30000.00,,,,SB21B.5755,202604159862297550,ORG,A,,,,,2026-04-15 16:19:34
21B,CONSERVATIVE & REPUBLICAN TOGETHER EQUALS RESULTS PAC,1965468,56,C00427401,"Morgan, Meredith & Associates",Dulles,VA,20166,,,,,FEC reporting,2026-02-06,437.50,,,,SB21B.5726,202604159862297550,ORG,A,,,,,2026-04-15 16:19:34
21B,CONSERVATIVE & REPUBLICAN TOGETHER EQUALS RESULTS PAC,1965468,55,C00427401,Miller,Round Rock,TX,78665,,,,,political strategy consulting - commission,2026-03-04,32000.00,,,,SB21B.5729,202604159862297550,IND,A,,,,,2026-04-15 16:19:34
21B,CONSERVATIVE & REPUBLICAN TOGETHER EQUALS RESULTS PAC,1965468,54,C00427401,Miller,Round Rock,TX,78665,,,,,political strategy - consulting commission,2026-03-04,32000.00,,,,SB21B.5728,202604159862297549,IND,A,,,,,2026-04-15 16:19:34
21B,CONSERVATIVE & REPUBLICAN TOGETHER EQUALS RESULTS PAC,1965468,53,C00427401,"Drucker Lawhon, LLP",Washington,DC,20002,,,,,political fundraising and consulting,2026-02-06,1118.98,,,,SB21B.5727,202604159862297549,ORG,A,,,,,2026-04-15 16:19:34
21B,CONSERVATIVE & REPUBLICAN TOGETHER EQUALS RESULTS PAC,1965468,52,C00427401,Dowdell,Liberty Hill,TX,78642,,,,,Political sign installation & removal,2026-01-06,9180.00,,,,SB21B.5723,202604159862297549,IND,A,,,,,2026-04-15 16:19:34
23,CONSERVATIVE & REPUBLICAN TOGETHER EQUALS RESULTS PAC,1995379,11,C00427401,NATHANIEL MORAN FOR CONGRESS,TYLER,TX,75702,,,,,political contribution,2026-05-19,400.00,,H,01,SB23.5843,202607159875571357,CCM,A,,,,,2026-07-15 15:43:34
23,CONSERVATIVE & REPUBLICAN TOGETHER EQUALS RESULTS PAC,1995379,10,C00427401,CELESTE FOR CONGRESS,CEDAR CITY,UT,84721,,,CELESTE FOR CONGRESS,,political contribution,2026-04-01,1500.00,,H,03,SB23.5830,202607159875571357,CCM,A,,,,,2026-07-15 15:43:34
21B,CONSERVATIVE & REPUBLICAN TOGETHER EQUALS RESULTS PAC,1995379,9,C00427401,"Morgan, Meredith & Associates",Dulles,VA,20166,,,,,FEC reporting services,2026-06-17,100.00,,,,SB21B.5824,202607159875571356,ORG,A,,,,,2026-07-15 15:43:34
21B,CONSERVATIVE & REPUBLICAN TOGETHER EQUALS RESULTS PAC,1995379,8,C00427401,"Morgan, Meredith & Associates",Dulles,VA,20166,,,,,FEC reporting services,2026-05-26,397.50,,,,SB21B.5828,202607159875571356,ORG,A,,,,,2026-07-15 15:43:34
21B,CONSERVATIVE & REPUBLICAN TOGETHER EQUALS RESULTS PAC,1995379,7,C00427401,"Morgan, Meredith & Associates",Dulles,VA,20166,,,,,FEC reporting sevices,2026-04-09,487.50,,,,SB21B.5822,202607159875571355,ORG,A,,,,,2026-07-15 15:43:34
21B,CONSERVATIVE & REPUBLICAN TOGETHER EQUALS RESULTS PAC,1995379,6,C00427401,"Drucker Lawhon, LLP",Washington,DC,20002,,,,,Political Fundraising Consulting,2026-06-17,1000.00,,,,SB21B.5823,202607159875571355,ORG,A,,,,,2026-07-15 15:43:34
21B,CONSERVATIVE & REPUBLICAN TOGETHER EQUALS RESULTS PAC,1995379,5,C00427401,"Drucker Lawhon, LLP",Washington,DC,20002,,,,,Political fundraising Consulting,2026-05-26,3214.94,,,,SB21B.5825,202607159875571355,ORG,A,,,,,2026-07-15 15:43:34
21B,CONSERVATIVE & REPUBLICAN TOGETHER EQUALS RESULTS PAC,1995379,4,C00427401,"Drucker Lawhon, LLP",Washington,DC,20002,,,,,Political fundraising consulting,2026-04-09,1044.57,,,,SB21B.5829,202607159875571354,ORG,A,,,,,2026-07-15 15:43:34
21B,CONSERVATIVE & REPUBLICAN TOGETHER EQUALS RESULTS PAC,1995379,3,C00427401,Austin FC,Austin,TX,78758,,,,,Event - Venue Rental,2026-06-22,14206.08,,,,SB21B.5836,202607159875571354,ORG,A,,,,,2026-07-15 15:43:34
21B,CONSERVATIVE & REPUBLICAN TOGETHER EQUALS RESULTS PAC,1995379,2,C00427401,Austin FC,Austin,TX,78758,,,,,Event - venue rental,2026-06-17,14526.00,,,,SB21B.5826,202607159875571354,ORG,A,,,,,2026-07-15 15:43:34
