amendment_indicator,amendment_indicator_desc,back_reference_schedule_id,back_reference_transaction_id,beneficiary_committee_name,candidate_first_name,candidate_id,candidate_last_name,candidate_middle_name,candidate_name,candidate_office,candidate_office_description,candidate_office_district,candidate_office_state,candidate_office_state_full,candidate_prefix,candidate_suffix,category_code,category_code_full,comm_dt,committee_id,conduit_committee_city,conduit_committee_name,conduit_committee_state,conduit_committee_street1,conduit_committee_street2,conduit_committee_zip,disbursement_amount,disbursement_date,disbursement_description,disbursement_purpose_category,disbursement_type,disbursement_type_description,election_type,election_type_full,entity_type,entity_type_desc,fec_election_type_desc,fec_election_year,file_number,filing_form,image_number,line_number,line_number_label,link_id,load_date,memo_code,memo_code_full,memo_text,memoed_subtotal,national_committee_nonfederal_account,original_sub_id,payee_employer,payee_first_name,payee_last_name,payee_middle_name,payee_occupation,payee_prefix,payee_suffix,pdf_url,recipient_city,recipient_committee_id,recipient_name,recipient_state,recipient_zip,ref_disp_excess_flg,report_type,report_year,schedule_type,schedule_type_full,semi_annual_bundled_refund,spender_committee_designation,spender_committee_org_type,spender_committee_type,sub_id,transaction_id,two_year_transaction_period,unused_recipient_committee_id
N,NO CHANGE,,,CLAIRE REYNOLDS FOR CONGRESS,,,,,,H,HOUSE,11,TX,TEXAS,,,,,,C00929711,,,,,,,294.99,2026-06-09,TRAVEL EXPENSES,MATERIALS,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1998635,F3,202607169890852660,17,Operating Expenditures,4071720261534579001,2026-08-11T02:51:44,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607169890852660,ODESSA,,ODESSA MARRIOTT HOTEL & CONFERENCE CENTER,TX,79761,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4081020261570740253,SB17.6028,2026,C00929711
N,NO CHANGE,,,CLAIRE REYNOLDS FOR CONGRESS,,,,,,H,HOUSE,11,TX,TEXAS,,,,,,C00929711,,,,,,,144.99,2026-06-07,FEES,OTHER,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1998635,F3,202607169890852654,17,Operating Expenditures,4071720261534579001,2026-08-11T02:51:44,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607169890852654,SOMERVILLE,,ACTBLUE,MA,02144,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4081020261570740234,SB17.6017,2026,C00929711
N,NO CHANGE,,,CLAIRE REYNOLDS FOR CONGRESS,,,,,,H,HOUSE,11,TX,TEXAS,,,,,,C00929711,,,,,,,1180.0,2026-06-05,TRAVEL EXPENSES,MATERIALS,,,G2026,,IND,INDIVIDUAL,GENERAL,2026,1998635,F3,202607169890852660,17,Operating Expenditures,4071720261534579001,2026-08-11T02:51:44,,,,false,,,,JULIA,LAJOIE,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607169890852660,WASHINGTON,,"LAJOIE, JULIA",DC,20007,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4081020261570740252,SB17.6043,2026,C00929711
N,NO CHANGE,,,CLAIRE REYNOLDS FOR CONGRESS,,,,,,H,HOUSE,11,TX,TEXAS,,,,,,C00929711,,,,,,,270.63,2026-06-03,PHOTOGRAPHY,OTHER,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1998635,F3,202607169890852659,17,Operating Expenditures,4071720261534579001,2026-08-11T02:51:44,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607169890852659,AUSTIN,,JILL HAYS PHOTOGRAPHY,TX,787294907,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4081020261570740251,SB17.6000,2026,C00929711
N,NO CHANGE,,,CLAIRE REYNOLDS FOR CONGRESS,,,,,,H,HOUSE,11,TX,TEXAS,,,,,,C00929711,,,,,,,500.0,2026-06-02,FUNDRAISING SERVICES,OTHER,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1998635,F3,202607169890852659,17,Operating Expenditures,4071720261534579001,2026-08-11T02:51:44,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607169890852659,WASHINGTON,,"GRASSROOTS ANALYTICS, INC.",DC,20001,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4081020261570740250,SB17.5989,2026,C00929711
N,NO CHANGE,,,CLAIRE REYNOLDS FOR CONGRESS,,,,,,H,HOUSE,11,TX,TEXAS,,,,,,C00929711,,,,,,,77.69,2026-06-01,GOOGLE WORKSPACE,OTHER,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1998635,F3,202607169890852658,17,Operating Expenditures,4071720261534579001,2026-08-11T02:51:44,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607169890852658,MOUNTAIN VIEW,,GOOGLE,CA,94043,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4081020261570740246,SB17.5983,2026,C00929711
N,NO CHANGE,,,CLAIRE REYNOLDS FOR CONGRESS,,,,,,H,HOUSE,11,TX,TEXAS,,,,,,C00929711,,,,,,,13.99,2026-05-31,FEES,OTHER,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1998635,F3,202607169890852653,17,Operating Expenditures,4071720261534579001,2026-08-11T02:51:44,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607169890852653,SOMERVILLE,,ACTBLUE,MA,02144,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4081020261570740233,SB17.6016,2026,C00929711
N,NO CHANGE,,,CLAIRE REYNOLDS FOR CONGRESS,,,,,,H,HOUSE,11,TX,TEXAS,,,,,,C00929711,,,,,,,1160.2,2026-05-24,TRAVEL EXPENSES,MATERIALS,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1998635,F3,202607169890852663,17,Operating Expenditures,4071720261534579001,2026-08-11T02:51:44,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607169890852663,DALLAS,,SOUTHWEST AIRLINES CO.,TX,75235,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4081020261570740262,SB17.5998,2026,C00929711
N,NO CHANGE,,,CLAIRE REYNOLDS FOR CONGRESS,,,,,,H,HOUSE,11,TX,TEXAS,,,,,,C00929711,,,,,,,31.87,2026-05-24,FEES,OTHER,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1998635,F3,202607169890852653,17,Operating Expenditures,4071720261534579001,2026-08-11T02:51:44,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607169890852653,SOMERVILLE,,ACTBLUE,MA,02144,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4081020261570740232,SB17.6015,2026,C00929711
N,NO CHANGE,,,CLAIRE REYNOLDS FOR CONGRESS,,,,,,H,HOUSE,11,TX,TEXAS,,,,,,C00929711,,,,,,,50.0,2026-05-19,WEBSITE SERVICES,OTHER,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1998635,F3,202607169890852662,17,Operating Expenditures,4071720261534579001,2026-08-11T02:51:44,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607169890852662,MIDDLETOWN,,RUN!,DE,19709,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4081020261570740260,SB17.5979,2026,C00929711
