line_number,committee_name,file_number,related_line_number,committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,recipient_prefix,recipient_suffix,beneficiary_committee_name,disbursement_type,disbursement_description,disbursement_date,disbursement_amount,semi_annual_bundled_refund,candidate_office,candidate_office_district,transaction_id,image_number,entity_type,amendment_indicator,memo_code,memo_text,back_reference_transaction_id,back_reference_schedule_name,load_timestamp
17,CLAIRE REYNOLDS FOR CONGRESS,1968419,32,C00929711,Facebook,Menlo Park,CA,94025,,,CLAIRE REYNOLDS FOR CONGRESS,,Web advertising,2026-02-26,97.00,,H,11,SB17.4798,202604179863155501,ORG,N,,,,,2026-04-17 10:48:25
17,CLAIRE REYNOLDS FOR CONGRESS,1968419,31,C00929711,Facebook,Menlo Park,CA,94025,,,CLAIRE REYNOLDS FOR CONGRESS,,Web advertising,2026-02-24,97.00,,H,11,SB17.4799,202604179863155501,ORG,N,,,,,2026-04-17 10:48:25
17,CLAIRE REYNOLDS FOR CONGRESS,1968419,30,C00929711,Facebook,Menlo Park,CA,94025,,,CLAIRE REYNOLDS FOR CONGRESS,,Web advertising,2026-02-23,122.00,,H,11,SB17.4801,202604179863155500,ORG,N,,,,,2026-04-17 10:48:25
17,CLAIRE REYNOLDS FOR CONGRESS,1968419,29,C00929711,Facebook,Menlo Park,CA,94025,,,CLAIRE REYNOLDS FOR CONGRESS,,Web advertising,2026-02-23,97.00,,H,11,SB17.4800,202604179863155500,ORG,N,,,,,2026-04-17 10:48:25
17,CLAIRE REYNOLDS FOR CONGRESS,1968419,28,C00929711,Bumperactive.com,Austin,TX,78723,,,CLAIRE REYNOLDS FOR CONGRESS,,Independent expenditure - yard signs,2026-02-13,1904.67,,H,11,SB17.4583,202604179863155500,ORG,N,,,,,2026-04-17 10:48:25
17,CLAIRE REYNOLDS FOR CONGRESS,1968419,27,C00929711,Budget Signs and Specialities,Madison,WI,53713,,,CLAIRE REYNOLDS FOR CONGRESS,,"Signs, etc.",2026-02-13,386.02,,H,11,SB17.4854,202604179863155499,ORG,N,,,,,2026-04-17 10:48:25
17,CLAIRE REYNOLDS FOR CONGRESS,1968419,26,C00929711,Bonterra - EveryAction,Austin,TX,78759,,,CLAIRE REYNOLDS FOR CONGRESS,,Fundraising,2026-03-17,559.65,,H,11,SB17.4851,202604179863155499,ORG,N,,,,,2026-04-17 10:48:25
17,CLAIRE REYNOLDS FOR CONGRESS,1968419,25,C00929711,Beardsley,Austin,TX,78729,,,CLAIRE REYNOLDS FOR CONGRESS,,Travel expense reimbursement - mileage,2026-02-18,393.12,,H,11,SB17.4791,202604179863155499,IND,N,,,,,2026-04-17 10:48:25
17,CLAIRE REYNOLDS FOR CONGRESS,1968419,24,C00929711,ActBlue,Somerville,MA,02144,,,CLAIRE REYNOLDS FOR CONGRESS,,Service fee,2026-03-31,29.75,,H,11,SB17.4877,202604179863155498,ORG,N,,,,,2026-04-17 10:48:25
17,CLAIRE REYNOLDS FOR CONGRESS,1968419,23,C00929711,ActBlue,Somerville,MA,02144,,,CLAIRE REYNOLDS FOR CONGRESS,,Service fee,2026-03-29,42.77,,H,11,SB17.4876,202604179863155498,ORG,N,,,,,2026-04-17 10:48:25
17,CLAIRE REYNOLDS FOR CONGRESS,1968419,22,C00929711,ActBlue,Somerville,MA,02144,,,CLAIRE REYNOLDS FOR CONGRESS,,Service fee,2026-03-22,70.12,,H,11,SB17.4875,202604179863155498,ORG,N,,,,,2026-04-17 10:48:25
17,CLAIRE REYNOLDS FOR CONGRESS,1968419,21,C00929711,ActBlue,Somerville,MA,02144,,,CLAIRE REYNOLDS FOR CONGRESS,,Service fee,2026-03-15,100.19,,H,11,SB17.4874,202604179863155497,ORG,N,,,,,2026-04-17 10:48:25
17,CLAIRE REYNOLDS FOR CONGRESS,1968419,20,C00929711,ActBlue,Somerville,MA,02144,,,CLAIRE REYNOLDS FOR CONGRESS,,Service fee,2026-03-08,21.81,,H,11,SB17.4873,202604179863155497,ORG,N,,,,,2026-04-17 10:48:25
17,CLAIRE REYNOLDS FOR CONGRESS,1968419,19,C00929711,ActBlue,Somerville,MA,02144,,,CLAIRE REYNOLDS FOR CONGRESS,,Service fee,2026-03-03,0.32,,H,11,SB17.4872,202604179863155497,ORG,N,,,,,2026-04-17 10:48:25
